02/22/2018 07:07:54 PM - DEBUG - starting flask app
02/22/2018 07:07:54 PM - INFO -  * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
02/22/2018 07:08:01 PM - INFO - 127.0.0.1 - - [22/Feb/2018 19:08:01] "GET / HTTP/1.1" 404 -
02/22/2018 07:08:10 PM - INFO - 127.0.0.1 - - [22/Feb/2018 19:08:10] "GET /version HTTP/1.1" 404 -
02/22/2018 07:08:15 PM - INFO - 127.0.0.1 - - [22/Feb/2018 19:08:15] "GET /api/version HTTP/1.1" 201 -
02/22/2018 07:08:20 PM - INFO - 127.0.0.1 - - [22/Feb/2018 19:08:20] "GET /api/health HTTP/1.1" 404 -
02/22/2018 07:08:24 PM - INFO - 127.0.0.1 - - [22/Feb/2018 19:08:24] "GET /api/health/plain HTTP/1.1" 404 -
02/22/2018 07:08:39 PM - INFO - 127.0.0.1 - - [22/Feb/2018 19:08:39] "GET /api//health/plain HTTP/1.1" 404 -
02/22/2018 07:08:44 PM - INFO - 127.0.0.1 - - [22/Feb/2018 19:08:44] "GET /api/health/plain HTTP/1.1" 404 -
02/22/2018 07:09:04 PM - INFO - 127.0.0.1 - - [22/Feb/2018 19:09:04] "GET /health/plain HTTP/1.1" 201 -
02/22/2018 07:09:08 PM - INFO - 127.0.0.1 - - [22/Feb/2018 19:09:08] "GET /api/values HTTP/1.1" 404 -
02/22/2018 07:09:17 PM - INFO - 127.0.0.1 - - [22/Feb/2018 19:09:17] "GET /api/version HTTP/1.1" 201 -
